Sample, clk, data, rst
346230, 1, 0, 1
346255, 0, 0, 1
346287, 1, 0, 1
346313, 0, 0, 1
346345, 1, 0, 1
346370, 0, 0, 1
346403, 1, 0, 1
346428, 0, 0, 1
346461, 1, 0, 1
346486, 0, 0, 1
346519, 1, 0, 1
346544, 0, 0, 1
346577, 1, 0, 1
346602, 0, 0, 1
346613, 0, 1, 1
346642, 0, 0, 1
346665, 1, 0, 1
346691, 0, 0, 1
346723, 1, 0, 1
346748, 0, 0, 1
346781, 1, 0, 1
346806, 0, 0, 1
346839, 1, 0, 1
346864, 0, 0, 1
346897, 1, 0, 1
346922, 0, 0, 1
346954, 1, 0, 1
346980, 0, 0, 1
347012, 1, 0, 1
347037, 0, 0, 1
347070, 1, 0, 1
347095, 0, 0, 1
347105, 0, 0, 0
347131, 1, 0, 0
347157, 0, 0, 0
347198, 1, 0, 0
347229, 0, 0, 0
347230, 0, 1, 0
347257, 1, 1, 0
347288, 0, 0, 0
347315, 1, 0, 0
347346, 0, 0, 0
347373, 1, 0, 0
347405, 0, 1, 0
347432, 1, 1, 0
347463, 0, 0, 0
347490, 1, 0, 0
347522, 0, 0, 0
347549, 1, 0, 0
347581, 0, 1, 0
347608, 1, 1, 0
347639, 0, 1, 0
347673, 1, 1, 0
347704, 0, 1, 0
347751, 1, 1, 0
347782, 0, 1, 0
347809, 1, 1, 0
347840, 0, 0, 0
347867, 1, 0, 0
347899, 0, 0, 0
347926, 1, 0, 0
347958, 0, 0, 0
347985, 1, 0, 0
348016, 0, 0, 0
348017, 0, 1, 0
348044, 1, 1, 0
348075, 0, 0, 0
348102, 1, 0, 0
348133, 0, 0, 0
348161, 1, 0, 0
348192, 0, 1, 0
348227, 1, 1, 0
348257, 0, 0, 0
348304, 1, 0, 0
348336, 0, 0, 0
348363, 1, 0, 0
348395, 0, 0, 0
348422, 1, 0, 0
348453, 0, 0, 0
348481, 1, 0, 0
348512, 0, 1, 0
348539, 1, 1, 0
348570, 0, 0, 0
348597, 1, 0, 0
348629, 0, 0, 0
348656, 1, 0, 0
348688, 0, 0, 0
348715, 1, 0, 0
348747, 0, 1, 0
348781, 1, 1, 0
348812, 0, 1, 0
348859, 1, 1, 0
348890, 0, 0, 0
348917, 1, 0, 0
348948, 0, 0, 0
348976, 1, 0, 0
349007, 0, 0, 0
349034, 1, 0, 0
349066, 0, 1, 0
349093, 1, 1, 0
349124, 0, 0, 0
349152, 1, 0, 0
349183, 0, 0, 0
349210, 1, 0, 0
349242, 0, 1, 0
349269, 1, 1, 0
349300, 0, 1, 0
349335, 1, 1, 0
349366, 0, 1, 0
349412, 1, 1, 0
349443, 0, 1, 0
349470, 1, 1, 0
349501, 0, 1, 0
349528, 1, 1, 0
349559, 0, 1, 0
349587, 1, 1, 0
349618, 0, 1, 0
349645, 1, 1, 0
349676, 0, 1, 0
349703, 1, 1, 0
349734, 0, 1, 0
349761, 1, 1, 0
349792, 0, 1, 0
349819, 1, 1, 0
349850, 0, 1, 0
349885, 1, 1, 0
349915, 0, 1, 0
349962, 1, 1, 0
349993, 0, 1, 0
350020, 1, 1, 0
350051, 0, 1, 0
350078, 1, 1, 0
350109, 0, 1, 0
350137, 1, 1, 0
350168, 0, 1, 0
350195, 1, 1, 0
350226, 0, 1, 0
350253, 1, 1, 0
350284, 0, 1, 0
350311, 1, 1, 0
350342, 0, 1, 0
350369, 1, 1, 0
350400, 0, 1, 0
350435, 1, 1, 0
350465, 0, 1, 0
350512, 1, 1, 0
350543, 0, 0, 0
350570, 1, 0, 0
350602, 0, 0, 0
350629, 1, 0, 0
350660, 0, 0, 0
350688, 1, 0, 0
350719, 0, 0, 0
350746, 1, 0, 0
350778, 0, 0, 0
350805, 1, 0, 0
350837, 0, 0, 0
350864, 1, 0, 0
350896, 0, 1, 0
350923, 1, 1, 0
350954, 0, 1, 0
350988, 1, 1, 0
351019, 0, 1, 0
351066, 1, 1, 0
351097, 0, 1, 0
351124, 1, 1, 0
351155, 0, 0, 0
351182, 1, 0, 0
351214, 0, 0, 0
351241, 1, 0, 0
351273, 0, 1, 0
351300, 1, 1, 0
351331, 0, 0, 0
351358, 1, 0, 0
351390, 0, 0, 0
351417, 1, 0, 0
351448, 0, 0, 0
351476, 1, 0, 0
351507, 0, 1, 0
351542, 1, 1, 0
351572, 0, 1, 0
351619, 1, 1, 0
351650, 0, 1, 0
351677, 1, 1, 0
351708, 0, 1, 0
351735, 1, 1, 0
351766, 0, 1, 0
351793, 1, 1, 0
351824, 0, 1, 0
351851, 1, 1, 0
351882, 0, 1, 0
351910, 1, 1, 0
351941, 0, 1, 0
351968, 1, 1, 0
351999, 0, 1, 0
352026, 1, 1, 0
352057, 0, 1, 0
352091, 1, 1, 0
352122, 0, 1, 0
352169, 1, 1, 0
352200, 0, 1, 0
352227, 1, 1, 0
352258, 0, 1, 0
352285, 1, 1, 0
352316, 0, 1, 0
352343, 1, 1, 0
352374, 0, 1, 0
352401, 1, 1, 0
352432, 0, 1, 0
352459, 1, 1, 0
352490, 0, 1, 0
352517, 1, 1, 0
352548, 0, 1, 0
352576, 1, 1, 0
352607, 0, 1, 0
352641, 1, 1, 0
352672, 0, 1, 0
352718, 1, 1, 0
352749, 0, 1, 0
352776, 1, 1, 0
352807, 0, 1, 0
352835, 1, 1, 0
352865, 0, 1, 0
352893, 1, 1, 0
352924, 0, 1, 0
352951, 1, 1, 0
352982, 0, 1, 0
353009, 1, 1, 0
353040, 0, 1, 0
353067, 1, 1, 0
353098, 0, 1, 0
353125, 1, 1, 0
353156, 0, 1, 0
353191, 1, 1, 0
353222, 0, 1, 0
353268, 1, 1, 0
353299, 0, 1, 0
353326, 1, 1, 0
353357, 0, 1, 0
353385, 1, 1, 0
353416, 0, 1, 0
353443, 1, 1, 0
353474, 0, 1, 0
353501, 1, 1, 0
353532, 0, 1, 0
353559, 1, 1, 0
353590, 0, 1, 0
353617, 1, 1, 0
353648, 0, 1, 0
353675, 1, 1, 0
353706, 0, 1, 0
353741, 1, 1, 0
353771, 0, 1, 0
353818, 1, 1, 0
353849, 0, 1, 0
353876, 1, 1, 0
353907, 0, 1, 0
353934, 1, 1, 0
353965, 0, 1, 0
353993, 1, 1, 0
354023, 0, 1, 0
354051, 1, 1, 0
354082, 0, 1, 0
354109, 1, 1, 0
354140, 0, 1, 0
354167, 1, 1, 0
354198, 0, 1, 0
354225, 1, 1, 0
354256, 0, 1, 0
354291, 1, 1, 0
354321, 0, 1, 0
354368, 1, 1, 0
354399, 0, 1, 0
354426, 1, 1, 0
354457, 0, 1, 0
354484, 1, 1, 0
354515, 0, 1, 0
354542, 1, 1, 0
354573, 0, 1, 0
354600, 1, 1, 0
354631, 0, 1, 0
354658, 1, 1, 0
354689, 0, 1, 0
354716, 1, 1, 0
354747, 0, 1, 0
354775, 1, 1, 0
354806, 0, 1, 0
354840, 1, 1, 0
354871, 0, 1, 0
354917, 1, 1, 0
354948, 0, 1, 0
354975, 1, 1, 0
355006, 0, 1, 0
355034, 1, 1, 0
355065, 0, 1, 0
355092, 1, 1, 0
355123, 0, 1, 0
355150, 1, 1, 0
355181, 0, 1, 0
355208, 1, 1, 0
355239, 0, 1, 0
355266, 1, 1, 0
355297, 0, 1, 0
355324, 1, 1, 0
355355, 0, 1, 0
355389, 1, 1, 0
355420, 0, 1, 0
355467, 1, 1, 0
355498, 0, 1, 0
355525, 1, 1, 0
355556, 0, 1, 0
355583, 1, 1, 0
355614, 0, 1, 0
355641, 1, 1, 0
355672, 0, 1, 0
355699, 1, 1, 0
355730, 0, 1, 0
355757, 1, 1, 0
355788, 0, 1, 0
355815, 1, 1, 0
355846, 0, 1, 0
355874, 1, 1, 0
355905, 0, 1, 0
355939, 1, 1, 0
355970, 0, 1, 0
356016, 1, 1, 0
356047, 0, 1, 0
356075, 1, 1, 0
356106, 0, 1, 0
356133, 1, 1, 0
356164, 0, 1, 0
356191, 1, 1, 0
356222, 0, 1, 0
356249, 1, 1, 0
356280, 0, 1, 0
356308, 1, 1, 0
356338, 0, 1, 0
356366, 1, 1, 0
356397, 0, 1, 0
356424, 1, 1, 0
356455, 0, 1, 0
356489, 1, 1, 0
356520, 0, 1, 0
356566, 1, 1, 0
356597, 0, 1, 0
356625, 1, 1, 0
356656, 0, 1, 0
356683, 1, 1, 0
356714, 0, 1, 0
356741, 1, 1, 0
356772, 0, 1, 0
356799, 1, 1, 0
356830, 0, 1, 0
356857, 1, 1, 0
356888, 0, 1, 0
356915, 1, 1, 0
356946, 0, 1, 0
356973, 1, 1, 0
357004, 0, 1, 0
357039, 1, 1, 0
357069, 0, 1, 0
357116, 1, 1, 0
357147, 0, 1, 0
357174, 1, 1, 0
357205, 0, 1, 0
357232, 1, 1, 0
357263, 0, 1, 0
357291, 1, 1, 0
357322, 0, 1, 0
357349, 1, 1, 0
357380, 0, 1, 0
357407, 1, 1, 0
357438, 0, 1, 0
357465, 1, 1, 0
357496, 0, 1, 0
357523, 1, 1, 0
357554, 0, 1, 0
357589, 1, 1, 0
357619, 0, 1, 0
357666, 1, 1, 0
357697, 0, 1, 0
357724, 1, 1, 0
357755, 0, 1, 0
357782, 1, 1, 0
357813, 0, 1, 0
357840, 1, 1, 0
357871, 0, 1, 0
357899, 1, 1, 0
357930, 0, 1, 0
357957, 1, 1, 0
357988, 0, 1, 0
358015, 1, 1, 0
358046, 0, 1, 0
358073, 1, 1, 0
358104, 0, 1, 0
358139, 1, 1, 0
358169, 0, 1, 0
358216, 1, 1, 0
358247, 0, 1, 0
358274, 1, 1, 0
358305, 0, 1, 0
358332, 1, 1, 0
358363, 0, 1, 0
358391, 1, 1, 0
358422, 0, 1, 0
358449, 1, 1, 0
358480, 0, 1, 0
358507, 1, 1, 0
358538, 0, 1, 0
358565, 1, 1, 0
358596, 0, 1, 0
358623, 1, 1, 0
358654, 0, 1, 0
358689, 1, 1, 0
358719, 0, 0, 0
358766, 1, 0, 0
358797, 0, 0, 0
358798, 0, 1, 0
358825, 1, 1, 0
358856, 0, 0, 0
358883, 1, 0, 0
358915, 0, 0, 0
358942, 1, 0, 0
358973, 0, 1, 0
359000, 1, 1, 0
359031, 0, 0, 0
359059, 1, 0, 0
359090, 0, 1, 0
359117, 1, 1, 0
359148, 0, 1, 0
359175, 1, 1, 0
359206, 0, 1, 0
359241, 1, 1, 0
359271, 0, 0, 0
359318, 1, 0, 0
359349, 0, 0, 0
359350, 0, 1, 0
359377, 1, 1, 0
359408, 0, 1, 0
359435, 1, 1, 0
359466, 0, 0, 0
359493, 1, 0, 0
359525, 0, 1, 0
359552, 1, 1, 0
359583, 0, 1, 0
359610, 1, 1, 0
359641, 0, 1, 0
359668, 1, 1, 0
359699, 0, 0, 0
359726, 1, 0, 0
359758, 0, 1, 0
359792, 1, 1, 0
359823, 0, 0, 0
359870, 1, 0, 0
359901, 0, 0, 0
359928, 1, 0, 0
359960, 0, 0, 0
359987, 1, 0, 0
360019, 0, 0, 0
360046, 1, 0, 0
360078, 0, 0, 0
360105, 1, 0, 0
360136, 0, 0, 0
360164, 1, 0, 0
360195, 0, 0, 0
360222, 1, 0, 0
360254, 0, 0, 0
360281, 1, 0, 0
360313, 0, 1, 0
360347, 1, 1, 0
360378, 0, 0, 0
360425, 1, 0, 0
360456, 0, 0, 0
360483, 1, 0, 0
360515, 0, 0, 0
360542, 1, 0, 0
360574, 0, 0, 0
360601, 1, 0, 0
360633, 0, 0, 0
360660, 1, 0, 0
360691, 0, 0, 0
360719, 1, 0, 0
360750, 0, 0, 0
360777, 1, 0, 0
360809, 0, 0, 0
360836, 1, 0, 0
360868, 0, 1, 0
360902, 1, 1, 0
360933, 0, 0, 0
360980, 1, 0, 0
361011, 0, 0, 0
361038, 1, 0, 0
361070, 0, 1, 0
361097, 1, 1, 0
361128, 0, 0, 0
361155, 1, 0, 0
361187, 0, 0, 0
361214, 1, 0, 0
361246, 0, 0, 0
361273, 1, 0, 0
361305, 0, 0, 0
361332, 1, 0, 0
361363, 0, 0, 0
361391, 1, 0, 0
361422, 0, 1, 0
361457, 1, 1, 0
361487, 0, 0, 0
361534, 1, 0, 0
361565, 0, 0, 0
361593, 1, 0, 0
361624, 0, 0, 0
361652, 1, 0, 0
361683, 0, 0, 0
361710, 1, 0, 0
361742, 0, 0, 0
361769, 1, 0, 0
361801, 0, 0, 0
361828, 1, 0, 0
361860, 0, 0, 0
361887, 1, 0, 0
361919, 0, 0, 0
361946, 1, 0, 0
361978, 0, 1, 0
362012, 1, 1, 0
362043, 0, 1, 0
362089, 1, 1, 0
362120, 0, 1, 0
362148, 1, 1, 0
362179, 0, 1, 0
362206, 1, 1, 0
362237, 0, 1, 0
362264, 1, 1, 0
362295, 0, 1, 0
362322, 1, 1, 0
362353, 0, 1, 0
362380, 1, 1, 0
362411, 0, 1, 0
362439, 1, 1, 0
362470, 0, 1, 0
362497, 1, 1, 0
362528, 0, 1, 0
362562, 1, 1, 0
362593, 0, 1, 0
362639, 1, 1, 0
362670, 0, 1, 0
362698, 1, 1, 0
362728, 0, 1, 0
362756, 1, 1, 0
362787, 0, 1, 0
362814, 1, 1, 0
362845, 0, 1, 0
362872, 1, 1, 0
362903, 0, 1, 0
362930, 1, 1, 0
362961, 0, 1, 0
362988, 1, 1, 0
363019, 0, 1, 0
363046, 1, 1, 0
363077, 0, 1, 0
363112, 1, 1, 0
363143, 0, 1, 0
363189, 1, 1, 0
363220, 0, 1, 0
363247, 1, 1, 0
363278, 0, 1, 0
363306, 1, 1, 0
363337, 0, 1, 0
363364, 1, 1, 0
363395, 0, 1, 0
363422, 1, 1, 0
363453, 0, 1, 0
363480, 1, 1, 0
363511, 0, 1, 0
363538, 1, 1, 0
363569, 0, 1, 0
363596, 1, 1, 0
363627, 0, 1, 0
363662, 1, 1, 0
363693, 0, 1, 0
363739, 1, 1, 0
363770, 0, 1, 0
363797, 1, 1, 0
363828, 0, 1, 0
363855, 1, 1, 0
363886, 0, 1, 0
363914, 1, 1, 0
363945, 0, 1, 0
363972, 1, 1, 0
364003, 0, 1, 0
364030, 1, 1, 0
364061, 0, 1, 0
364088, 1, 1, 0
364119, 0, 1, 0
364146, 1, 1, 0
364177, 0, 1, 0
364212, 1, 1, 0
364243, 0, 1, 0
364289, 1, 1, 0
364320, 0, 1, 0
364347, 1, 1, 0
364378, 0, 1, 0
364405, 1, 1, 0
364436, 0, 1, 0
364463, 1, 1, 0
364494, 0, 1, 0
364522, 1, 1, 0
364553, 0, 1, 0
364580, 1, 1, 0
364611, 0, 1, 0
364638, 1, 1, 0
364669, 0, 1, 0
364696, 1, 1, 0
364727, 0, 1, 0
364762, 1, 1, 0
364792, 0, 1, 0
364839, 1, 1, 0
364870, 0, 1, 0
364897, 1, 1, 0
364928, 0, 1, 0
364955, 1, 1, 0
364986, 0, 1, 0
365013, 1, 1, 0
365044, 0, 1, 0
365071, 1, 1, 0
365102, 0, 1, 0
365130, 1, 1, 0
365160, 0, 1, 0
365188, 1, 1, 0
365219, 0, 1, 0
365246, 1, 1, 0
365277, 0, 1, 0
365311, 1, 1, 0
365342, 0, 1, 0
365389, 1, 1, 0
365420, 0, 1, 0
365447, 1, 1, 0
365478, 0, 1, 0
365505, 1, 1, 0
365536, 0, 1, 0
365563, 1, 1, 0
365594, 0, 1, 0
365621, 1, 1, 0
365652, 0, 1, 0
365679, 1, 1, 0
365710, 0, 1, 0
365737, 1, 1, 0
365768, 0, 1, 0
365796, 1, 1, 0
365827, 0, 1, 0
365861, 1, 1, 0
365892, 0, 1, 0
365938, 1, 1, 0
365969, 0, 1, 0
365996, 1, 1, 0
366027, 0, 1, 0
366055, 1, 1, 0
366085, 0, 1, 0
366112, 1, 1, 0
366143, 0, 1, 0
366171, 1, 1, 0
366201, 0, 1, 0
366229, 1, 1, 0
366260, 0, 1, 0
366287, 1, 1, 0
366318, 0, 1, 0
366345, 1, 1, 0
366376, 0, 1, 0
366410, 1, 1, 0
366441, 0, 1, 0
366488, 1, 1, 0
366519, 0, 1, 0
366546, 1, 1, 0
366577, 0, 1, 0
366604, 1, 1, 0
366635, 0, 1, 0
366662, 1, 1, 0
366693, 0, 1, 0
366720, 1, 1, 0
366751, 0, 1, 0
366778, 1, 1, 0
366809, 0, 1, 0
366837, 1, 1, 0
366868, 0, 1, 0
366895, 1, 1, 0
366926, 0, 1, 0
366960, 1, 1, 0
366991, 0, 1, 0
367037, 1, 1, 0
367068, 0, 1, 0
367096, 1, 1, 0
367126, 0, 1, 0
367154, 1, 1, 0
367185, 0, 1, 0
367212, 1, 1, 0
367243, 0, 1, 0
367270, 1, 1, 0
367301, 0, 1, 0
367328, 1, 1, 0
367359, 0, 1, 0
367386, 1, 1, 0
367417, 0, 1, 0
367445, 1, 1, 0
367476, 0, 1, 0
367510, 1, 1, 0
367541, 0, 1, 0
367587, 1, 1, 0
367618, 0, 1, 0
367645, 1, 1, 0
367676, 0, 1, 0
367703, 1, 1, 0
367734, 0, 1, 0
367761, 1, 1, 0
367792, 0, 1, 0
367820, 1, 1, 0
367851, 0, 1, 0
367878, 1, 1, 0
367909, 0, 1, 0
367936, 1, 1, 0
367967, 0, 1, 0
367994, 1, 1, 0
368025, 0, 1, 0
368059, 1, 1, 0
368090, 0, 1, 0
368137, 1, 1, 0
368168, 0, 1, 0
368195, 1, 1, 0
368226, 0, 1, 0
368253, 1, 1, 0
368284, 0, 1, 0
368311, 1, 1, 0
368342, 0, 1, 0
368369, 1, 1, 0
368400, 0, 1, 0
368427, 1, 1, 0
368458, 0, 1, 0
368485, 1, 1, 0
368516, 0, 1, 0
368543, 1, 1, 0
368574, 0, 1, 0
368609, 1, 1, 0
368639, 0, 1, 0
368686, 1, 1, 0
368717, 0, 1, 0
368744, 1, 1, 0
368775, 0, 1, 0
368802, 1, 1, 0
368833, 0, 1, 0
368860, 1, 1, 0
368891, 0, 1, 0
368918, 1, 1, 0
368949, 0, 1, 0
368976, 1, 1, 0
369007, 0, 1, 0
369035, 1, 1, 0
369065, 0, 1, 0
369093, 1, 1, 0
369124, 0, 1, 0
369158, 1, 1, 0
369189, 0, 1, 0
369236, 1, 1, 0
369266, 0, 1, 0
369294, 1, 1, 0
369325, 0, 1, 0
369352, 1, 1, 0
369383, 0, 1, 0
369410, 1, 1, 0
369441, 0, 1, 0
369468, 1, 1, 0
369499, 0, 1, 0
369526, 1, 1, 0
369557, 0, 1, 0
369585, 1, 1, 0
369615, 0, 1, 0
369643, 1, 1, 0
369674, 0, 1, 0
369708, 1, 1, 0
369739, 0, 1, 0
369785, 1, 1, 0
369816, 0, 1, 0
369843, 1, 1, 0
369874, 0, 1, 0
369902, 1, 1, 0
369933, 0, 1, 0
369960, 1, 1, 0
369991, 0, 1, 0
370018, 1, 1, 0
370049, 0, 1, 0
370076, 1, 1, 0
370107, 0, 1, 0
370134, 1, 1, 0
370165, 0, 1, 0
370193, 1, 1, 0
370223, 0, 1, 0
370258, 1, 1, 0
370289, 0, 1, 0
370335, 1, 1, 0
370366, 0, 1, 0
370394, 1, 1, 0
370424, 0, 1, 0
370452, 1, 1, 0
370483, 0, 1, 0
370510, 1, 1, 0
370541, 0, 1, 0
370568, 1, 1, 0
370599, 0, 1, 0
370626, 1, 1, 0
370657, 0, 1, 0
370685, 1, 1, 0
370715, 0, 1, 0
370743, 1, 1, 0
370774, 0, 1, 0
370808, 1, 1, 0
370839, 0, 1, 0
370885, 1, 1, 0
370916, 0, 1, 0
370944, 1, 1, 0
370975, 0, 1, 0
371002, 1, 1, 0
371033, 0, 1, 0
371060, 1, 1, 0
371091, 0, 1, 0
371118, 1, 1, 0
371149, 0, 1, 0
371176, 1, 1, 0
371207, 0, 1, 0
371234, 1, 1, 0
371265, 0, 1, 0
371292, 1, 1, 0
371323, 0, 1, 0
371357, 1, 1, 0
371388, 0, 1, 0
371435, 1, 1, 0
371466, 0, 1, 0
371493, 1, 1, 0
371524, 0, 1, 0
371551, 1, 1, 0
371582, 0, 1, 0
371609, 1, 1, 0
371640, 0, 1, 0
371667, 1, 1, 0
371698, 0, 1, 0
371725, 1, 1, 0
371756, 0, 1, 0
371784, 1, 1, 0
371815, 0, 1, 0
371842, 1, 1, 0
371873, 0, 1, 0
371907, 1, 1, 0
371938, 0, 1, 0
371985, 1, 1, 0
372016, 0, 1, 0
372043, 1, 1, 0
372074, 0, 1, 0
372101, 1, 1, 0
372132, 0, 1, 0
372159, 1, 1, 0
372190, 0, 1, 0
372217, 1, 1, 0
372248, 0, 1, 0
372276, 1, 1, 0
372306, 0, 1, 0
372334, 1, 1, 0
372365, 0, 1, 0
372392, 1, 1, 0
372423, 0, 1, 0
372457, 1, 1, 0
372488, 0, 1, 0
372534, 1, 1, 0
372565, 0, 1, 0
372593, 1, 1, 0
372623, 0, 1, 0
372651, 1, 1, 0
372682, 0, 1, 0
372709, 1, 1, 0
372740, 0, 1, 0
372767, 1, 1, 0
372798, 0, 1, 0
372825, 1, 1, 0
372856, 0, 1, 0
372883, 1, 1, 0
372914, 0, 1, 0
372941, 1, 1, 0
372972, 0, 1, 0
373007, 1, 1, 0
373038, 0, 1, 0
373084, 1, 1, 0
373115, 0, 1, 0
373142, 1, 1, 0
373173, 0, 1, 0
373200, 1, 1, 0
373231, 0, 1, 0
373258, 1, 1, 0
373289, 0, 1, 0
373316, 1, 1, 0
373347, 0, 1, 0
373375, 1, 1, 0
373406, 0, 1, 0
373433, 1, 1, 0
373464, 0, 1, 0
373491, 1, 1, 0
373522, 0, 1, 0
373556, 1, 1, 0
373587, 0, 1, 0
373634, 1, 1, 0
373665, 0, 1, 0
373692, 1, 1, 0
373723, 0, 1, 0
373750, 1, 1, 0
373781, 0, 1, 0
373808, 1, 1, 0
373839, 0, 1, 0
373866, 1, 1, 0
373897, 0, 1, 0
373925, 1, 1, 0
373955, 0, 1, 0
373983, 1, 1, 0
374014, 0, 1, 0
374041, 1, 1, 0
374072, 0, 1, 0
374106, 1, 1, 0
374137, 0, 1, 0
374183, 1, 1, 0
374214, 0, 1, 0
374242, 1, 1, 0
374273, 0, 1, 0
374300, 1, 1, 0
374331, 0, 1, 0
374358, 1, 1, 0
374389, 0, 1, 0
374416, 1, 1, 0
374447, 0, 1, 0
374474, 1, 1, 0
374505, 0, 1, 0
374532, 1, 1, 0
374563, 0, 1, 0
374590, 1, 1, 0
374621, 0, 1, 0
374656, 1, 1, 0
